FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.1,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4,3,Andre faste tællinger,40971,"4,0",47900,53700,15680,"3,1",16200,19100,,,,,,,,,,,20220922,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/0m4ck4EXdW.pdf,4,3.0999999,873,"2,13",,,116,1,POINT (12.565491397230991 55.677960848602766)
trafiktaelling.2,3,Bredgade,nord for Kongens Nytorv,4,3,Andre faste tællinger,10494,"2,6",12300,13700,7508,"4,7",7700,9200,,,,,,,,,,,20230927,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ghUBlNfO8b.pdf,2.5999999,4.69999981,189,"1,80",,,63,2,POINT (12.587600106423729 55.681163602385205)
trafiktaelling.3,4,Christian d. IV's Bro,syd for Niels Juels Gade,,3,Andre faste tællinger,10450,"0,3",12200,13700,9753,"3,9",10000,11900,,,,,,,,,,,20230927,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/SFVPyBfrHf.pdf,0.30000001,3.9000001,30,"0,28",,,0,3,POINT (12.587161874224895 55.67576459605933)
trafiktaelling.4,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,3298,16,3900,4300,34108,"5,1",35100,41600,,,,,,,,,,,20230906,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/iQk1JOppGk.pdf,16,5.0999999,85,"2,57",,,,4,POINT (12.563772380225611 55.686726138477155)
trafiktaelling.5,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,3318,"16,5",3900,4300,34108,"5,1",35100,41600,,,,,,,,,,,20230906,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ABC7UDQTr6.pdf,16.5,5.0999999,85,"2,56",,,,5,POINT (12.563772380225611 55.686726138477155)
trafiktaelling.6,6,Kampmannsgade,ud for søerne,,2,Søsnittet,3459,"3,2",4000,4500,9098,"3,2",9400,11100,,,,,,,,,,,20230905,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/nnSkTfFlef.pdf,3.20000005,3.20000005,57,"1,64",,,5,6,POINT (12.557917540101617 55.67797681383058)
trafiktaelling.7,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,28540,"2,5",33400,37400,4155,"4,3",4300,5100,,,,,,,,,,,20210601,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/2nSOUbkSRS.pdf,2.5,4.30000019,617,"2,16",,,49,7,POINT (12.510990440718215 55.650502831976276)
trafiktaelling.8,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,10406,"2,1",12200,13600,1900,"8,1",2000,2300,,,,,,,,,,,20230920,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/S0WiUeYFrA.pdf,2.0999999,8.10000038,174,"1,67",,,11,8,POINT (12.59984563626354 55.63848509063262)
trafiktaelling.9,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,296,"0,1",300,400,2344,,2400,2900,2711,3200,3300,,,,,,,3200,20230613,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AXgHAMcoXB.pdf,0.1,,7,"0,1",,,,9,POINT (12.572503733886565 55.67597245960375)
trafiktaelling.10,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,36,"0,1",0,0,1075,"3,4",1100,1300,30883,36100,37400,,,,,,,36100,20230608,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jCSWUju30S.pdf,0.1,3.4000001,,,,,,10,POINT (12.572683528145085 55.68321134228041)
